Field_1,Count
allays,1
allegation,1
allegations,1
allege,2
alleged,2
allegiance,26
allegiant,1
alley,2
alleys,2
allhallowmas,1
alliance,17
allicholy,1
allied,6
allies,6
alligant,1
alligator,1
allons,3
allons-nous,1
allot,2
allotted,2
allottery,1
allow,29
"allow'd",15
allowance,10
allowed,7
allowing,3
allows,4
"allur'd",1
allure,4
allurement,1
alluring,1
allusion,2
ally,1
allycholly,1
almain,1
almanac,2
almanack,1
almanacs,1
almighty,8
almond,1
almost,177
alms,13
alms-basket,1
alms-deed,1
alms-drink,1
almshouses,1
"almsman's",1
aloes,1
aloft,21
alone,257
alone-,1
along,119
alonso,53
aloof,20
aloud,27
alow,3
"alow'st",1
alphabet,1
alphabetical,1
alphonso,1
alps,4
already,149
already-,1
also,41
"alt'red",3
"alt'ring",2
altar,24
altars,6
alter,19
"alter'd",15
alteration,10
altered,3
alternate,1
alters,4
althaea,2
"althaea's",1
although,85
altitude,3
altogether,25
"altogether's",1
alton,1
alway,1
always,64
always-wind-obeying,1
am,2290
am-,6
amaimon,2
amain,15
amaz,1
"amaz'd",36
amaze,11
amazed,8
amazedly,5
amazedness,2
amazement,13
amazes,2
amazeth,1
amazing,1
amazon,4
amazonian,3
amazons,4
ambassador,27
ambassadors,17
amber,6
"amber-colour'd",1
ambiguities,2
ambiguous,1
ambition,46
"ambition's",2
ambitions,2
ambitious,38
ambitiously,2
amble,1
ambled,1
ambles,4
ambling,3
ambuscados,1
ambush,9
amen,84
"amen'",1
amend,18
amended,5
amending,1
amendment,4
amends,25
amerce,1
america,1
ames-ace,1
amiable,7
amid,2
amidst,1
amiens,16
amis,2
amiss,37
amiss-,1
amisse,1
amities,2
amity,23
among,96
"among's",1
"among'st",1
amongst,41
amorous,23
amorously,1
amort,2
amount,7
amounts,3
amphimacus,1
ample,16
ampler,1
amplest,2
amplified,1
amplify,3
amply,3
ampthill,1
amurath,2
amyntas,1
an,1872
"an'",1
"an't",44
an-ape,1
an-hungry,1
anatomie,1
"anatomiz'd",2
anatomize,3
anatomized,1
anatomy,4
ancestor,5
ancestors,21
ancestry,4
anchient,8
anchises,2
"anchises'",1
anchor,7
"anchor'd",1
"anchor's",1
anchorage,1
anchored,1
anchoring,2
anchors,5
anchovies,1
ancient,84
"ancient'st",1
ancientry,2
ancients,1
ancus,1
and,28409
"and's",1
"and't",7
and-,5
and-prithee,1
andarus,1
andirons,1
andpholus,1
andren,1
andrew,119
andromache,12
andronici,4
andronicus,58
"andronicus'",1
andronicus-,1
anew,10
"ang'red",4
angel,51
"angel'",1
"angel's",1
angel-like,2
angelica,1
angelical,1
angelo,206
"angelo's",7
angelo-,3
angels,35
"angels'",2
anger,67
"anger'd",4
"anger's",2
angering,1
angerly,2
angers,5
anges,1
